v1	V(n005)	I(I1)	I(I2)	I(Ib)
3.794999999999979e+00	2.611475e+00	2.260339e-10	9.799462e-08	9.819133e-08
3.795999999999979e+00	2.611477e+00	2.330472e-10	9.798762e-08	9.819133e-08
3.796999999999978e+00	2.611480e+00	2.402848e-10	9.798038e-08	9.819134e-08
3.797999999999978e+00	2.611483e+00	2.477539e-10	9.797292e-08	9.819134e-08
3.798999999999978e+00	2.611485e+00	2.554619e-10	9.796522e-08	9.819135e-08
3.799999999999978e+00	2.611488e+00	2.634164e-10	9.795728e-08	9.819136e-08
3.800999999999978e+00	2.611491e+00	2.716250e-10	9.794907e-08	9.819136e-08
3.801999999999978e+00	2.611494e+00	2.800960e-10	9.794061e-08	9.819137e-08
3.802999999999978e+00	2.611497e+00	2.888375e-10	9.793187e-08	9.819138e-08
3.803999999999978e+00	2.611501e+00	2.978582e-10	9.792286e-08	9.819139e-08
3.804999999999978e+00	2.611504e+00	3.071668e-10	9.791356e-08	9.819140e-08
3.805999999999977e+00	2.611507e+00	3.167726e-10	9.790396e-08	9.819141e-08
3.806999999999977e+00	2.611511e+00	3.266847e-10	9.789406e-08	9.819141e-08
3.807999999999977e+00	2.611515e+00	3.369129e-10	9.788384e-08	9.819142e-08
3.808999999999977e+00	2.611519e+00	3.474672e-10	9.787330e-08	9.819144e-08
3.809999999999977e+00	2.611522e+00	3.583578e-10	9.786242e-08	9.819144e-08
3.810999999999977e+00	2.611526e+00	3.695952e-10	9.785119e-08	9.819146e-08
3.811999999999977e+00	2.611531e+00	3.811905e-10	9.783960e-08	9.819146e-08
3.812999999999977e+00	2.611535e+00	3.931549e-10	9.782765e-08	9.819147e-08
3.813999999999977e+00	2.611540e+00	4.054998e-10	9.781532e-08	9.819149e-08
3.814999999999976e+00	2.611544e+00	4.182373e-10	9.780259e-08	9.819150e-08
3.815999999999976e+00	2.611549e+00	4.313797e-10	9.778946e-08	9.819151e-08
3.816999999999976e+00	2.611554e+00	4.449395e-10	9.777591e-08	9.819152e-08
3.817999999999976e+00	2.611559e+00	4.589299e-10	9.776193e-08	9.819153e-08
3.818999999999976e+00	2.611564e+00	4.733643e-10	9.774752e-08	9.819155e-08
3.819999999999976e+00	2.611569e+00	4.882566e-10	9.773264e-08	9.819156e-08
3.820999999999976e+00	2.611575e+00	5.036210e-10	9.771728e-08	9.819157e-08
3.821999999999976e+00	2.611581e+00	5.194722e-10	9.770145e-08	9.819158e-08
3.822999999999976e+00	2.611587e+00	5.358254e-10	9.768511e-08	9.819160e-08
3.823999999999975e+00	2.611593e+00	5.526961e-10	9.766826e-08	9.819162e-08
3.824999999999975e+00	2.611599e+00	5.701002e-10	9.765086e-08	9.819163e-08
3.825999999999975e+00	2.611605e+00	5.880546e-10	9.763293e-08	9.819165e-08
3.826999999999975e+00	2.611612e+00	6.065760e-10	9.761442e-08	9.819166e-08
3.827999999999975e+00	2.611619e+00	6.256821e-10	9.759533e-08	9.819168e-08
3.828999999999975e+00	2.611626e+00	6.453907e-10	9.757564e-08	9.819170e-08
3.829999999999975e+00	2.611634e+00	6.657206e-10	9.755533e-08	9.819172e-08
3.830999999999975e+00	2.611641e+00	6.866908e-10	9.753438e-08	9.819173e-08
3.831999999999975e+00	2.611649e+00	7.083209e-10	9.751277e-08	9.819176e-08
3.832999999999974e+00	2.611657e+00	7.306312e-10	9.749048e-08	9.819178e-08
3.833999999999974e+00	2.611665e+00	7.536424e-10	9.746748e-08	9.819180e-08
3.834999999999974e+00	2.611674e+00	7.773760e-10	9.744377e-08	9.819182e-08
3.835999999999974e+00	2.611683e+00	8.018540e-10	9.741932e-08	9.819184e-08
3.836999999999974e+00	2.611692e+00	8.270991e-10	9.739410e-08	9.819186e-08
3.837999999999974e+00	2.611701e+00	8.531344e-10	9.736809e-08	9.819188e-08
