Freq.	V(vout)
5.12861383991364e+000	(-7.75458081449796e-002dB,-6.37298616050306e-004°)
5.24807460249771e+000	(-7.75458081710650e-002dB,-6.52143207793170e-004°)
5.37031796370252e+000	(-7.75458081983764e-002dB,-6.67333574496816e-004°)
5.49540873857623e+000	(-7.75458082269741e-002dB,-6.82877770294729e-004°)
5.62341325190348e+000	(-7.75458082569214e-002dB,-6.98784036925265e-004°)
5.75439937337156e+000	(-7.75458082882803e-002dB,-7.15060808101523e-004°)
5.88843655355588e+000	(-7.75458083211183e-002dB,-7.31716713983021e-004°)
6.02559586074356e+000	(-7.75458083555013e-002dB,-7.48760585751511e-004°)
6.16595001861481e+000	(-7.75458083915072e-002dB,-7.66201460293394e-004°)
6.30957344480192e+000	(-7.75458084292071e-002dB,-7.84048584991197e-004°)
6.45654229034654e+000	(-7.75458084686855e-002dB,-8.02311422626653e-004°)
6.60693448007594e+000	(-7.75458085100263e-002dB,-8.20999656398000e-004°)
6.76082975391980e+000	(-7.75458085533149e-002dB,-8.40123195054133e-004°)
6.91830970918935e+000	(-7.75458085986390e-002dB,-8.59692178148362e-004°)
7.07945784384136e+000	(-7.75458086461017e-002dB,-8.79716981414527e-004°)
7.24435960074988e+000	(-7.75458086958023e-002dB,-9.00208222268361e-004°)
7.41310241300916e+000	(-7.75458087478448e-002dB,-9.21176765436977e-004°)
7.58577575029182e+000	(-7.75458088023392e-002dB,-9.42633728719489e-004°)
7.76247116628690e+000	(-7.75458088594042e-002dB,-9.64590488881821e-004°)
7.94328234724279e+000	(-7.75458089191585e-002dB,-9.87058687688817e-004°)
8.12830516164097e+000	(-7.75458089817247e-002dB,-1.01005023807686e-003°)
8.31763771102669e+000	(-7.75458090472420e-002dB,-1.03357733047025e-003°)
8.51138038202374e+000	(-7.75458091158465e-002dB,-1.05765243924478e-003°)
8.70963589956078e+000	(-7.75458091876880e-002dB,-1.08228832934174e-003°)
8.91250938133743e+000	(-7.75458092629126e-002dB,-1.10749806303613e-003°)
9.12010839355907e+000	(-7.75458093416808e-002dB,-1.13329500686239e-003°)
9.33254300796988e+000	(-7.75458094241629e-002dB,-1.15969283870156e-003°)
9.54992586021433e+000	(-7.75458095105300e-002dB,-1.18670555503346e-003°)
9.77237220955808e+000	(-7.75458096009729e-002dB,-1.21434747835779e-003°)
9.99999999999997e+000	(-7.75458096956746e-002dB,-1.24263326478812e-003°)
1.02329299228075e+001	(-7.75458097948392e-002dB,-1.27157791182276e-003°)
1.04712854805090e+001	(-7.75458098986771e-002dB,-1.30119676629665e-003°)
1.07151930523760e+001	(-7.75458100074090e-002dB,-1.33150553251841e-003°)
1.09647819614318e+001	(-7.75458101212637e-002dB,-1.36252028059699e-003°)
1.12201845430196e+001	(-7.75458102404892e-002dB,-1.39425745496230e-003°)
1.14815362149688e+001	(-7.75458103653297e-002dB,-1.42673388308417e-003°)
