time	V(v1)	V(vout)
1.518310720004748e-007	2.259127e+000	2.691469e+000
1.520310720004749e-007	2.254802e+000	2.691226e+000
1.522310720004749e-007	2.250482e+000	2.690976e+000
1.524310720004749e-007	2.246167e+000	2.690718e+000
1.526310720004749e-007	2.241857e+000	2.690454e+000
1.528310720004749e-007	2.237552e+000	2.690184e+000
1.530310720004749e-007	2.233252e+000	2.689908e+000
1.532310720004750e-007	2.228957e+000	2.689626e+000
1.534310720004750e-007	2.224668e+000	2.689339e+000
1.536310720004750e-007	2.220385e+000	2.689047e+000
1.537310720004750e-007	2.218245e+000	2.688900e+000
1.538310720004750e-007	2.216107e+000	2.688751e+000
1.539310720004750e-007	2.213970e+000	2.688601e+000
1.540310720004750e-007	2.211834e+000	2.688451e+000
1.541310720004750e-007	2.209700e+000	2.688299e+000
1.542310720004750e-007	2.207567e+000	2.688146e+000
1.543310720004750e-007	2.205436e+000	2.687992e+000
1.544310720004750e-007	2.203306e+000	2.687837e+000
1.545310720004751e-007	2.201178e+000	2.687682e+000
1.546310720004751e-007	2.199052e+000	2.687525e+000
1.547310720004751e-007	2.196926e+000	2.687368e+000
1.548310720004751e-007	2.194803e+000	2.687209e+000
1.549310720004751e-007	2.192680e+000	2.687050e+000
1.551310720004751e-007	2.188440e+000	2.686729e+000
1.552310720004751e-007	2.186323e+000	2.686567e+000
1.553310720004751e-007	2.184207e+000	2.686405e+000
1.554310720004751e-007	2.182092e+000	2.686242e+000
1.555310720004751e-007	2.179979e+000	2.686078e+000
1.556310720004751e-007	2.177868e+000	2.685913e+000
1.557310720004751e-007	2.175758e+000	2.685748e+000
1.558310720004751e-007	2.173650e+000	2.685582e+000
1.559310720004752e-007	2.171544e+000	2.685415e+000
1.560310720004752e-007	2.169439e+000	2.685248e+000
1.561310720004752e-007	2.167336e+000	2.685080e+000
1.562310720004752e-007	2.165234e+000	2.684911e+000
1.563310720004752e-007	2.163134e+000	2.684742e+000
1.564310720004752e-007	2.161036e+000	2.684572e+000
1.565310720004752e-007	2.158939e+000	2.684402e+000
1.566310720004752e-007	2.156845e+000	2.684231e+000
1.567310720004752e-007	2.154752e+000	2.684060e+000
1.568310720004752e-007	2.152660e+000	2.683887e+000
1.569310720004752e-007	2.150570e+000	2.683715e+000
1.570310720004752e-007	2.148482e+000	2.683542e+000
1.571310720004752e-007	2.146396e+000	2.683369e+000
1.572310720004753e-007	2.144312e+000	2.683195e+000
1.573310720004753e-007	2.142229e+000	2.683021e+000
1.574310720004753e-007	2.140148e+000	2.682847e+000
1.575310720004753e-007	2.138069e+000	2.682672e+000
1.576310720004753e-007	2.135992e+000	2.682497e+000
1.577310720004753e-007	2.133916e+000	2.682321e+000
1.578310720004753e-007	2.131843e+000	2.682145e+000
1.579310720004753e-007	2.129771e+000	2.681969e+000
1.580310720004753e-007	2.127701e+000	2.681792e+000
1.582310720004753e-007	2.123566e+000	2.681438e+000
1.584310720004753e-007	2.119439e+000	2.681082e+000
1.587310720004754e-007	2.113263e+000	2.680546e+000
1.590310720004754e-007	2.107104e+000	2.680007e+000
1.593310720004754e-007	2.100963e+000	2.679465e+000
1.596310720004754e-007	2.094839e+000	2.678921e+000
1.599310720004755e-007	2.088733e+000	2.678373e+000
1.602310720004755e-007	2.082647e+000	2.677823e+000
1.605310720004755e-007	2.076578e+000	2.677271e+000
1.608310720004755e-007	2.070529e+000	2.676716e+000
