Freq.	V,vout
7.76247116628685e+002	,-6.80618698422233e-004,-1.13036639807011e-002
7.94328234724275e+002	,-6.80627095061862e-004,-1.15669599936234e-002
8.12830516164092e+002	,-6.80635887422103e-004,-1.18363889481774e-002
8.31763771102664e+002	,-6.80645094141011e-004,-1.21120936981840e-002
8.51138038202369e+002	,-6.80654734761250e-004,-1.23942204249039e-002
8.70963589956073e+002	,-6.80664829719487e-004,-1.26829187145400e-002
8.91250938133738e+002	,-6.80675400429328e-004,-1.29783416375446e-002
9.12010839355902e+002	,-6.80686469317002e-004,-1.32806458297738e-002
9.33254300796983e+002	,-6.80698059854154e-004,-1.35899915755312e-002
9.54992586021428e+002	,-6.80710196634027e-004,-1.39065428925470e-002
9.77237220955802e+002	,-6.80722905384004e-004,-1.42304676189348e-002
9.99999999999991e+002	,-6.80736213072654e-004,-1.45619375021738e-002
1.02329299228075e+003	,-6.80750147920341e-004,-1.49011282901641e-002
1.04712854805089e+003	,-6.80764739482165e-004,-1.52482198244015e-002
1.07151930523760e+003	,-6.80780018711610e-004,-1.56033961353225e-002
1.09647819614318e+003	,-6.80796018010691e-004,-1.59668455398699e-002
1.12201845430195e+003	,-6.80812771317723e-004,-1.63387607413301e-002
1.14815362149687e+003	,-6.80830314161317e-004,-1.67193389314954e-002
1.17489755493952e+003	,-6.80848683756827e-004,-1.71087818952060e-002
1.20226443461740e+003	,-6.80867919054571e-004,-1.75072961173250e-002
1.23026877081237e+003	,-6.80888060864233e-004,-1.79150928922058e-002
1.25892541179416e+003	,-6.80909151900197e-004,-1.83323884357081e-002
1.28824955169312e+003	,-6.80931236891483e-004,-1.87594039998220e-002
1.31825673855640e+003	,-6.80954362683978e-004,-1.91963659899619e-002
1.34896288259164e+003	,-6.80978578330124e-004,-1.96435060849903e-002
1.38038426460287e+003	,-6.81003935177644e-004,-2.01010613600377e-002
1.41253754462274e+003	,-6.81030487015164e-004,-2.05692744121816e-002
1.44543977074591e+003	,-6.81058290156119e-004,-2.10483934890517e-002
1.47910838816819e+003	,-6.81087403560271e-004,-2.15386726204292e-002
1.51356124843619e+003	,-6.81117888981253e-004,-2.20403717529117e-002
1.54881661891247e+003	,-6.81149811069772e-004,-2.25537568877110e-002
1.58489319246110e+003	,-6.81183237529832e-004,-2.30791002216607e-002
1.62181009735891e+003	,-6.81218239256654e-004,-2.36166802915069e-002
1.65958690743754e+003	,-6.81254890476503e-004,-2.41667821215567e-002
1.69824365246173e+003	,-6.81293268923187e-004,-2.47296973747652e-002
1.73780082874936e+003	,-6.81333455986562e-004,-2.53057245073395e-002
1.77827941003891e+003	,-6.81375536897710e-004,-2.58951689269411e-002
1.81970085860997e+003	,-6.81419600904451e-004,-2.64983431545722e-002
1.86208713666285e+003	,-6.81465741447834e-004,-2.71155669902289e-002
1.90546071796323e+003	,-6.81514056380092e-004,-2.77471676824117e-002
1.94984459975803e+003	,-6.81564648161380e-004,-2.83934801015805e-002
1.99526231496886e+003	,-6.81617624086408e-004,-2.90548469176477e-002
2.04173794466951e+003	,-6.81673096496616e-004,-2.97316187816015e-002
2.08929613085402e+003	,-6.81731183024161e-004,-3.04241545113569e-002
2.13796208950221e+003	,-6.81792006860027e-004,-3.11328212819323e-002
2.18776162394953e+003	,-6.81855696975837e-004,-3.18579948200502e-002
2.23872113856832e+003	,-6.81922388438246e-004,-3.26000596032689e-002
2.29086765276775e+003	,-6.81992222665480e-004,-3.33594090637459e-002
2.34422881531990e+003	,-6.82065347736902e-004,-3.41364457967439e-002
2.39883291901947e+003	,-6.82141918729595e-004,-3.49315817739876e-002
2.45470891568501e+003	,-6.82222097985499e-004,-3.57452385619842e-002
2.51188643150955e+003	,-6.82306055535754e-004,-3.65778475454247e-002
2.57039578276884e+003	,-6.82393969397733e-004,-3.74298501557806e-002
2.63026799189535e+003	,-6.82486025980093e-004,-3.83016981052198e-002
2.69153480392689e+003	,-6.82582420468541e-004,-3.91938536259622e-002
2.75422870333814e+003	,-6.82683357254990e-004,-4.01067897152040e-002
2.81838293126442e+003	,-6.82789050340686e-004,-4.10409903857376e-002
2.88403150312658e+003	,-6.82899723818408e-004,-4.19969509224005e-002
2.95120922666635e+003	,-6.83015612328633e-004,-4.29751781444869e-002
3.01995172040198e+003	,-6.83136961576459e-004,-4.39761906742632e-002
3.09029543251356e+003	,-6.83264028823454e-004,-4.50005192117236e-002
3.16227766016835e+003	,-6.83397083449903e-004,-4.60487068157371e-002
3.23593656929625e+003	,-6.83536407531527e-004,-4.71213091917269e-002
3.31131121482588e+003	,-6.83682296410409e-004,-4.82188949860390e-002
3.38844156139199e+003	,-6.83835059355616e-004,-4.93420460871525e-002
3.46736850452528e+003	,-6.83995020193925e-004,-5.04913579338891e-002
3.54813389233572e+003	,-6.84162517982973e-004,-5.16674398307851e-002
3.63078054770097e+003	,-6.84337907776041e-004,-5.28709152707916e-002
3.71535229097168e+003	,-6.84521561311603e-004,-5.41024222654704e-002
3.80189396320557e+003	,-6.84713867846576e-004,-5.53626136828625e-002
3.89045144994276e+003	,-6.84915234959676e-004,-5.66521575932014e-002
3.98107170553493e+003	,-6.85126089416491e-004,-5.79717376226567e-002
4.07380277804108e+003	,-6.85346878080852e-004,-5.93220533152913e-002
4.16869383470331e+003	,-6.85578068831986e-004,-6.07038205034216e-002
4.26579518801588e+003	,-6.85820151583901e-004,-6.21177716865753e-002
4.36515832240161e+003	,-6.86073639304767e-004,-6.35646564192445e-002
4.46683592150958e+003	,-6.86339069108634e-004,-6.50452417076372e-002
4.57088189614870e+003	,-6.86617003383790e-004,-6.65603124156315e-002
4.67735141287193e+003	,-6.86908030964530e-004,-6.81106716801499e-002
4.78630092322633e+003	,-6.87212768420572e-004,-6.96971413361662e-002
4.89778819368441e+003	,-6.87531861308868e-004,-7.13205623515653e-002
5.01187233627267e+003	,-6.87865985567185e-004,-7.29817952720868e-002
5.12861383991359e+003	,-6.88215848923112e-004,-7.46817206765791e-002
5.24807460249767e+003	,-6.88582192395662e-004,-7.64212396428049e-002
5.37031796370247e+003	,-6.88965791852799e-004,-7.82012742240360e-002
5.49540873857618e+003	,-6.89367459659628e-004,-8.00227679366862e-002
5.62341325190343e+003	,-6.89788046369024e-004,-8.18866862592370e-002
5.75439937337150e+003	,-6.90228442523161e-004,-8.37940171427083e-002
5.88843655355582e+003	,-6.90689580541846e-004,-8.57457715329477e-002
6.02559586074351e+003	,-6.91172436672578e-004,-8.77429839049950e-002
6.16595001861475e+003	,-6.91678033043800e-004,-8.97867128098119e-002
6.30957344480186e+003	,-6.92207439819417e-004,-9.18780414336460e-002
6.45654229034648e+003	,-6.92761777452651e-004,-9.40180781703234e-002
6.60693448007588e+003	,-6.93342219030554e-004,-9.62079572067626e-002
6.76082975391974e+003	,-6.93949992764155e-004,-9.84488391220100e-002
6.91830970918928e+003	,-6.94586384522970e-004,-1.00741911500101e-001
7.07945784384129e+003	,-6.95252740593259e-004,-1.03088389557065e-001
7.24435960074981e+003	,-6.95950470448832e-004,-1.05489516782388e-001
