Freq.	V(v1)	V(vb)	V(vout)
5.01187233627271e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.64262833721429e-005dB,-2.00341764559167e-002°)
5.12861383991364e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.64027725769063e-005dB,-2.05008323377164e-002°)
5.24807460249771e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.63781537508438e-005dB,-2.09783580288127e-002°)
5.37031796370252e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.63523746719749e-005dB,-2.14670067194067e-002°)
5.49540873857623e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.63253806650794e-005dB,-2.19670374972440e-002°)
5.62341325190348e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.62971144724775e-005dB,-2.24787154849849e-002°)
5.75439937337156e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.62675161344539e-005dB,-2.30023119807751e-002°)
5.88843655355588e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.62365228658242e-005dB,-2.35381046020894e-002°)
6.02559586074356e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.62040689344301e-005dB,-2.40863774329273e-002°)
6.16595001861481e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.61700854952754e-005dB,-2.46474211744363e-002°)
6.30957344480192e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.61345004670925e-005dB,-2.52215332990435e-002°)
6.45654229034654e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.60972383645500e-005dB,-2.58090182081779e-002°)
6.60693448007594e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.60582201593899e-005dB,-2.64101873936659e-002°)
6.76082975391980e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.60173630759907e-005dB,-2.70253596028862e-002°)
6.91830970918935e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.59745804679337e-005dB,-2.76548610077716e-002°)
7.07945784384136e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.59297815672789e-005dB,-2.82990253777474e-002°)
7.24435960074988e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.58828713669170e-005dB,-2.89581942566976e-002°)
7.41310241300916e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.58337503563442e-005dB,-2.96327171440529e-002°)
7.58577575029182e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.57823143422982e-005dB,-3.03229516800975e-002°)
7.76247116628690e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.57284542211772e-005dB,-3.10292638355909e-002°)
7.94328234724279e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.56720557591734e-005dB,-3.17520281058073e-002°)
8.12830516164097e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.56129993184052e-005dB,-3.24916277090940e-002°)
8.31763771102669e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.55511596312645e-005dB,-3.32484547900552e-002°)
8.51138038202374e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.54864055342630e-005dB,-3.40229106274676e-002°)
8.70963589956078e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.54185996690914e-005dB,-3.48154058470393e-002°)
8.91250938133743e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.53475982106791e-005dB,-3.56263606391240e-002°)
9.12010839355907e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.52732505682534e-005dB,-3.64562049815065e-002°)
9.33254300796988e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.51953990111813e-005dB,-3.73053788673767e-002°)
9.54992586021433e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.51138784413876e-005dB,-3.81743325386138e-002°)
9.77237220955808e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.50285159227647e-005dB,-3.90635267245043e-002°)
9.99999999999997e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.49391303938024e-005dB,-3.99734328860193e-002°)
1.02329299228075e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.48455322567852e-005dB,-4.09045334657825e-002°)
1.04712854805090e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.47475229824185e-005dB,-4.18573221438595e-002°)
1.07151930523760e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.46448946681662e-005dB,-4.28323040995046e-002°)
1.09647819614318e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.45374296370912e-005dB,-4.38299962790052e-002°)
1.12201845430196e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.44248999325476e-005dB,-4.48509276697629e-002°)
1.14815362149688e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.43070668707328e-005dB,-4.58956395807597e-002°)
1.17489755493953e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.41836805160931e-005dB,-4.69646859295557e-002°)
1.20226443461741e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.40544791451575e-005dB,-4.80586335359717e-002°)
1.23026877081238e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.39191887007282e-005dB,-4.91780624226114e-002°)
1.25892541179416e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.37775222248550e-005dB,-5.03235661223833e-002°)
1.28824955169313e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.36291792165929e-005dB,-5.14957519931850e-002°)
1.31825673855640e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.34738450186888e-005dB,-5.26952415399165e-002°)
1.34896288259165e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.33111901560516e-005dB,-5.39226707439932e-002°)
1.38038426460288e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.31408696086483e-005dB,-5.51786904005333e-002°)
1.41253754462275e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.29625221114000e-005dB,-5.64639664633990e-002°)
